No,SBSNCD,SBSNNM,BBSNCD,BBSNCD_Kor,MBSNCD,S1_connectivity_enhancement,S2_habitat_function,S3_hydrology_potential,S4_restoration_budget,Score_sum
128,201905,정암수위표,20,낙동강권역,2019,78.4,66.1,77.6,63.2,71.3
212,300502,석천,30,금강권역,3005,58,67.6,78.7,80.8,71.3
58,201206,금호강시점,20,낙동강권역,2012,87.4,67.5,79.5,50.4,71.2
179,201203,고촌천,20,낙동강권역,2012,63.5,66.1,88.7,66.2,71.1
78,130206,주수천,13,한강권역,1302,86.5,72.8,77.2,47.4,71
204,400404,요천합류전,40,섬진강-영산강권역,4004,65.4,62.2,71.9,84,70.9
404,200208,용전천상류,20,낙동강권역,2002,0,84.3,100,99.1,70.9
21,202201,원동천합류전,20,낙동강권역,2022,98.1,64.4,79,41.3,70.7
53,500401,승촌보,50,섬진강-영산강권역,5004,93.9,62.6,75.3,51.1,70.7
67,330207,신평천,33,금강권역,3302,85.8,64.4,74.3,57.8,70.6
165,100711,이포보,10,한강권역,1007,74.2,66.1,74.8,66.9,70.5
51,202003,광려천,20,낙동강권역,2020,92.5,68.9,73.8,46,70.3
157,310116,삽교방조제,31,금강권역,3101,72.8,65.2,76.7,66.6,70.3
85,201902,영천강,20,낙동강권역,2019,94.1,67.6,75.7,43.4,70.2
146,400910,주교천,40,섬진강-영산강권역,4009,61.4,61.4,80.6,76.8,70.1
120,200603,병성천하류,20,낙동강권역,2006,71.6,68.6,80.3,59.4,70
57,201602,합천수위표하류,20,낙동강권역,2016,89.3,65.2,85.2,40,69.9
63,100709,여주보,10,한강권역,1007,90.7,67.6,75.9,45.5,69.9
100,200902,구미보,20,낙동강권역,2009,82.3,63.9,74.2,59,69.9
262,100403,압항천합류전,10,한강권역,1004,61.9,59.6,80.4,77.5,69.9
61,202010,밀양강합류전,20,낙동강권역,2020,83.5,68.9,73.7,52.3,69.6
101,202001,진동수위표,20,낙동강권역,2020,84.6,63.5,81.6,48.5,69.6
161,301214,논산천합류전,30,금강권역,3012,61.7,65.4,70,81.3,69.6
114,130201,연곡천,13,한강권역,1302,77.9,62.2,67.9,69.9,69.5
176,310102,구만수위표,31,금강권역,3101,59.3,68.9,77.2,71.7,69.3
261,301108,미호천중류,30,금강권역,3011,64.9,72.3,66.1,73.6,69.2
41,330206,원평천,33,금강권역,3302,91.1,64.4,75.2,45.8,69.1
182,301206,유구천,30,금강권역,3012,75.6,63.9,71.3,64.6,68.9
95,320304,대천천,32,금강권역,3203,81.4,63.5,74.8,55.5,68.8
175,240207,용연댐,24,낙동강권역,2402,60.7,71.5,74,68,68.6
